name,latitude,longitude,country,population,id
Edineţ,48.17215,27.30337,MD,22872,617076
Ungheni,47.21079,27.80047,MD,34422,617180
Tiraspol,46.84274,29.62909,MD,157000,617239
Strășeni,47.14216,28.60774,MD,19225,617302
Bilicenii Vechi,47.6558,28.04734,MD,15479,617345
Soroca,48.15659,28.28489,MD,27423,617367
Slobozia,46.72927,29.70446,MD,15356,617381
Rîbniţa,47.76817,29.01,MD,55455,617486
Orhei,47.38494,28.82446,MD,24918,617638
Hînceşti,46.83047,28.59064,MD,16900,617993
Codru,46.97648,28.819,MD,15934,618054
Căuşeni,46.63674,29.41114,MD,21690,618120
Floreşti,47.89137,28.29312,MD,16759,618329
Dubăsari,47.26562,29.16667,MD,23254,618365
Drochia,48.03555,27.81293,MD,16080,618370
Comrat,46.29456,28.6565,MD,22911,618405
Chisinau,47.00556,28.8575,MD,635994,618426
Ceadîr-Lunga,46.06169,28.83078,MD,22700,618450
Cahul,45.90425,28.19929,MD,34492,618456
Bender,46.83156,29.47769,MD,110175,618577
Bălţi,47.76314,27.92932,MD,125000,618605
