name,latitude,longitude,country,population,id
Yambol,42.48333,26.5,BG,63656,725578
Vratsa,43.21,23.5625,BG,64941,725712
Vidin,43.99159,22.88236,BG,40422,725905
Velingrad,42.02754,23.99155,BG,24036,725988
Veliko Tŭrnovo,43.08124,25.62904,BG,66217,725993
Varna,43.21667,27.91667,BG,312770,726050
Targovishte,43.2512,26.57215,BG,34793,726174
Troyan,42.89427,24.71589,BG,21162,726320
Dobrich,43.56667,27.83333,BG,79269,726418
Svishtov,43.61875,25.35033,BG,30157,726534
Svilengrad,41.76667,26.2,BG,19279,726546
Stara Zagora,42.43278,25.64194,BG,143431,726848
Dupnitsa,42.26667,23.11667,BG,34764,726872
Sofia,42.69751,23.32415,BG,1152556,727011
Smolyan,41.57439,24.71204,BG,26167,727030
Sliven,42.68583,26.32917,BG,83740,727079
Silistra,44.1171,27.26056,BG,29498,727221
Shumen,43.27064,26.92286,BG,72342,727233
Sevlievo,43.02583,25.11361,BG,24582,727337
Sandanski,41.56667,23.28333,BG,28510,727447
Samokov,42.337,23.5528,BG,26765,727462
Ruse,43.84872,25.9534,BG,143417,727523
Razgrad,43.53333,26.51667,BG,38285,727696
Rakovski,42.27408,24.94083,BG,15782,727791
Parvomay,42.1,25.21667,BG,17000,727886
Popovo,43.35,26.23333,BG,16571,728075
Plovdiv,42.15,24.75,BG,346893,728193
Pleven,43.41667,24.61667,BG,100952,728203
Petrich,41.39846,23.20702,BG,30722,728288
Peshtera,42.03372,24.29995,BG,18676,728317
Pernik,42.6,23.03333,BG,82467,728330
Pazardzhik,42.2,24.33333,BG,65671,728378
Panagyurishte,42.49518,24.19021,BG,19389,728448
Nova Zagora,42.48333,26.01667,BG,23625,728742
Montana,43.4125,23.225,BG,47445,729114
Lovech,43.13333,24.71667,BG,29659,729559
Lom,43.82106,23.23677,BG,26594,729581
Kyustendil,42.28389,22.69111,BG,37799,729730
Kardzhali,41.65,25.36667,BG,51000,729794
Haskovo,41.93415,25.55557,BG,67086,730435
Harmanli,41.93333,25.9,BG,18931,730442
Kazanlak,42.61667,25.4,BG,47918,730496
Karnobat,42.65,26.98333,BG,19709,730559
Karlovo,42.63333,24.8,BG,30340,730565
Gotse Delchev,41.56667,23.73333,BG,20522,731108
Gorna Oryahovitsa,43.12778,25.70167,BG,32792,731233
Gabrovo,42.87472,25.33417,BG,66175,731549
Dimitrovgrad,42.05,25.6,BG,38015,732263
Chirpan,42.2,25.33333,BG,15109,732452
Burgas,42.50606,27.46781,BG,195966,732770
Botevgrad,42.9,23.78333,BG,20909,733014
Blagoevgrad,42.01667,23.1,BG,67810,733191
Berkovitsa,43.23581,23.12738,BG,15027,733264
Aytos,42.7,27.25,BG,20986,733579
Asparuhovo,43.18067,27.88823,BG,27000,733606
Asenovgrad,42.01667,24.86667,BG,54778,733618
