name,latitude,longitude,country,population,id
Zvečan,42.9075,20.84028,XK,17000,783770
Vushtrri,42.82306,20.9675,XK,30651,784097
Vitina,42.32139,21.35833,XK,46959,784372
Ferizaj,42.37056,21.15528,XK,59504,784759
Suva Reka,42.35861,20.825,XK,72229,785238
Shtime,42.43306,21.03972,XK,35000,785485
Prizren,42.21389,20.73972,XK,171464,786712
Pristina,42.67272,21.16688,XK,550000,786714
Podujeva,42.91056,21.19306,XK,35000,786950
Peć,42.65913,20.28828,XK,48962,787157
Orahovac,42.39944,20.65472,XK,22049,787456
Llazicë,42.55528,20.76333,XK,19863,788470
Leposaviq,43.10389,20.80278,XK,19000,788731
Mitrovicë,42.88333,20.86667,XK,107045,789225
Kosovo Polje,42.66394,21.09611,XK,16154,789228
Istok,42.78083,20.4875,XK,40000,789996
Gjilan,42.46045,21.46986,XK,51912,790674
Glogovac,42.62833,20.89389,XK,58579,790701
Dragash,42.0265,20.65333,XK,35000,791122
Deçan,42.54018,20.28793,XK,50500,791580
Gjakovë,42.38028,20.43083,XK,94158,791646
